71,absorb,4,0,Clever,Quite an appealing move.
51,acid,2,1,Clever,Badly startles Pokemon that the audience has high expectations of.
502,ally switch,3,0,Clever,Scrambles the order in which Pokemon will move on the next turn.
312,aromatherapy,1,0,Clever,Prevents the user from being startled until the turn ends.
372,assurance,1,0,Clever,Works better the later it is used in a turn.
454,attack order,3,0,Clever,An appealing move that can be used repeatedly without boring the audience.
251,beat up,1,0,Clever,Works well if the user is pumped up.
347,calm mind,1,0,Clever,"Gets the Pokemon pumped up. Helps prevent nervousness, too."
293,camouflage,1,0,Clever,Shows off the Pokemon's appeal about as well as all the moves before it this turn.
268,charge,1,0,Clever,"Gets the Pokemon pumped up. Helps prevent nervousness, too."
109,confuse ray,2,1,Clever,Badly startles Pokemon that the audience has high expectations of.
93,confusion,4,0,Clever,Quite an appealing move.
578,crafty shield,3,0,Clever,Excites the audience a lot if used first.
464,dark void,2,0,Clever,Makes the remaining Pokemon nervous.
455,defend order,2,0,Clever,Prevents the user from being startled one time this turn.
194,destiny bond,8,0,Clever,"A move of huge appeal, but using it prevents the user from taking further contest moves."
50,disable,2,0,Clever,Makes the remaining Pokemon nervous.
138,dream eater,2,0,Clever,Works well if it is the same type as the move used by the last Pokemon.
598,eerie impulse,1,4,Clever,Badly startles the last Pokemon to act before the user.
604,electric terrain,3,0,Clever,Excites the audience a lot if used first.
582,electrify,2,1,Clever,Badly startles Pokemon that used a move of the same type.
373,embargo,3,0,Clever,Brings down the energy of any Pokemon that have already used a move this turn.
587,fairy lock,3,0,Clever,Temporarily stops the crowd from growing excited.
364,feint,3,0,Clever,Causes the user to move earlier on the next turn.
185,feint attack,2,0,Clever,Works great if the user goes first this turn.
260,flatter,2,0,Clever,Makes the remaining Pokemon nervous.
19,fly,2,0,Clever,Prevents the user from being startled one time this turn.
193,foresight,2,1,Clever,Badly startles Pokemon that used a move of the same type.
571,forest's curse,1,0,Clever,Works better the more the crowd is excited.
492,foul play,1,0,Clever,Shows off the Pokemon's appeal about as well as the move used just before it.
248,future sight,2,0,Clever,Works well if it is the same type as the move used by the last Pokemon.
544,gear grind,4,0,Clever,Quite an appealing move.
202,giga drain,1,4,Clever,Badly startles the last Pokemon to act before the user.
320,grass whistle,2,0,Clever,Prevents the user from being startled one time this turn.
356,gravity,2,0,Clever,Makes the remaining Pokemon nervous.
470,guard split,1,0,Clever,Shows off the Pokemon's appeal about as well as all the moves before it this turn.
385,guard swap,1,0,Clever,Shows off the Pokemon's appeal about as well as all the moves before it this turn.
16,gust,1,4,Clever,Badly startles the last Pokemon to act before the user.
377,heal block,3,0,Clever,Temporarily stops the crowd from growing excited.
456,heal order,2,1,Clever,Badly startles Pokemon that used a move of the same type.
391,heart swap,1,0,Clever,Shows off the Pokemon's appeal about as well as all the moves before it this turn.
270,helping hand,4,0,Clever,Quite an appealing move.
506,hex,2,1,Clever,Badly startles Pokemon that used a move of the same type.
237,hidden power,3,0,Clever,An appealing move that can be used repeatedly without boring the audience.
593,hyperspace hole,3,0,Clever,Excites the audience a lot if used first.
95,hypnosis,2,2,Clever,Startles all of the Pokemon to act before the user.
286,imprison,3,0,Clever,Temporarily stops the crowd from growing excited.
275,ingrain,1,0,Clever,"Gets the Pokemon pumped up. Helps prevent nervousness, too."
134,kinesis,3,0,Clever,An appealing move that can be used repeatedly without boring the audience.
282,knock off,1,3,Clever,Badly startles all of the Pokemon to act before the user.
141,leech life,1,0,Clever,Shows off the Pokemon's appeal about as well as the move used just before it.
73,leech seed,1,0,Clever,"Gets the Pokemon pumped up. Helps prevent nervousness, too."
199,lock-on,3,0,Clever,Causes the user to move earlier on the next turn.
490,low sweep,1,0,Clever,Prevents the user from being startled until the turn ends.
295,luster purge,2,1,Clever,Badly startles Pokemon that used a move of the same type.
478,magic room,3,0,Clever,Temporarily stops the crowd from growing excited.
393,magnet rise,2,0,Clever,Makes the remaining Pokemon nervous.
602,magnetic flux,1,0,Clever,"Gets the Pokemon pumped up. Helps prevent nervousness, too."
382,me first,3,0,Clever,Causes the user to move earlier on the next turn.
72,mega drain,2,3,Clever,Startles the last Pokemon to act before the user.
319,metal sound,2,2,Clever,Startles all of the Pokemon to act before the user.
170,mind reader,3,0,Clever,Causes the user to move earlier on the next turn.
357,miracle eye,2,0,Clever,Works great if the user goes first this turn.
119,mirror move,1,0,Clever,Shows off the Pokemon's appeal about as well as the move used just before it.
296,mist ball,2,1,Clever,Badly startles all Pokemon that successfully showed their appeal.
